class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
### znes_2050_dpr,,,,,,,,,,,,,,,,,,,,
### transshipment based on e-highway 2050,,,,,,,,,,,,,,,,,,,,
"### Offshore, Onshore, Solar, Biomass, ror, pumped storage DE based on e-highway",,,,,,,,,,,,,,,,,,,,
### further storage based on Cebulla,,,,,,,,,,,,,,,,,,,,
### Onshore in Germany limited by maximum burden level of 0.7: total installed capacity 54142.941 MW,,,,,,,,,,,,,,,,,,,,
### Missing onshore production of 103 Twh replaced with 25.9543646399 GW extra offshore capacity,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,
Storage,DEdr02_storage_a_caes,DEdr02_bus_el,DEdr02_storage_a_caes,,2.95,,,,,,0,,8.85,0,0.837,0.837,0.5,0,1,
Storage,DEdr02_storage_hydrogen,DEdr02_storage_hydrogen,DEdr02_bus_el,,9.57,,,,,,0,,,,,,,,,
Storage,DEdr02_storage_hydrogen,DEdr02_bus_el,DEdr02_storage_hydrogen,,9.57,,,,,,0,,95.68,0,0.632,0.632,0.5,0,1,
Storage,DEdr02_storage_lithium_ion,DEdr02_storage_lithium_ion,DEdr02_bus_el,,14.83,,,,,,0,,,,,,,,,
Storage,DEdr02_storage_lithium_ion,DEdr02_bus_el,DEdr02_storage_lithium_ion,,14.83,,,,,,0,,74.13,0,0.975,0.975,0.5,0,1,
Storage,DEdr02_storage_redox_flow,DEdr02_storage_redox_flow,DEdr02_bus_el,,0.88,,,,,,0,,,,,,,,,
Storage,DEdr02_storage_redox_flow,DEdr02_bus_el,DEdr02_storage_redox_flow,,0.88,,,,,,0,,2.94,0,0.866,0.866,0.5,0,1,
Sink,DEdr02_load,DEdr02_bus_el,DEdr02_load,,1552.1793818068,,,,seq,,,TRUE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### DEdr03,,,,,,,,,,,,,,,,,,,,
Sink,DEdr03_excess,DEdr03_bus_el,DEdr03_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DEdr03_shortage,DEdr03_shortage,DEdr03_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,DEdr03_pp_biomass,DEdr03_pp_biomass,DEdr03_bus_el,0.38,1364.1397400761,,,2514,,29000,3.9,,,,,,,,,
LinearTransformer,DEdr03_pp_biomass,GL_bus_biomass,DEdr03_pp_biomass,,,,,,,,,,,,,,,,,
Source,DEdr03_run_of_river,DEdr03_run_of_river,DEdr03_bus_el,,70.0301008089,,,,0.65,,,TRUE,,,,,,,,
Source,DEdr03_solar,DEdr03_solar,DEdr03_bus_el,,5405.75804,,,,seq,,,TRUE,,,,,,,,
Source,DEdr03_wind_onshore,DEdr03_wind_onshore,DEdr03_bus_el,,3643.726,,,,seq,,,TRUE,,,,,,,,
Storage,DEdr03_storage_a_caes,DEdr03_storage_a_caes,DEdr03_bus_el,,223.88,,,,,,0,,,,,,,,,
Storage,DEdr03_storage_a_caes,DEdr03_bus_el,DEdr03_storage_a_caes,,223.88,,,,,,0,,671.64,0,0.837,0.837,0.5,0,1,
Storage,DEdr03_storage_hydrogen,DEdr03_storage_hydrogen,DEdr03_bus_el,,727.06,,,,,,0,,,,,,,,,
Storage,DEdr03_storage_hydrogen,DEdr03_bus_el,DEdr03_storage_hydrogen,,727.06,,,,,,0,,7270.56,0,0.632,0.632,0.5,0,1,
Storage,DEdr03_storage_lithium_ion,DEdr03_storage_lithium_ion,DEdr03_bus_el,,1126.58,,,,,,0,,,,,,,,,
Storage,DEdr03_storage_lithium_ion,DEdr03_bus_el,DEdr03_storage_lithium_ion,,1126.58,,,,,,0,,5632.89,0,0.975,0.975,0.5,0,1,
Storage,DEdr03_storage_pumped_hydro,DEdr03_storage_pumped_hydro,DEdr03_bus_el,,3482.3886477597,,,,,,0,,,,,,,,,
Storage,DEdr03_storage_pumped_hydro,DEdr03_bus_el,DEdr03_storage_pumped_hydro,,3482.3886477597,,,,,,0,,34820,0,0.894,0.894,0.5,0,1,
Storage,DEdr03_storage_redox_flow,DEdr03_storage_redox_flow,DEdr03_bus_el,,66.95,,,,,,0,,,,,,,,,
Storage,DEdr03_storage_redox_flow,DEdr03_bus_el,DEdr03_storage_redox_flow,,66.95,,,,,,0,,223.16,0,0.866,0.866,0.5,0,1,
Sink,DEdr03_load,DEdr03_bus_el,DEdr03_load,,4311.6093939078,,,,seq,,,TRUE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### DEdr04,,,,,,,,,,,,,,,,,,,,
Sink,DEdr04_excess,DEdr04_bus_el,DEdr04_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DEdr04_shortage,DEdr04_shortage,DEdr04_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,DEdr04_pp_biomass,DEdr04_pp_biomass,DEdr04_bus_el,0.38,1572.2192921285,,,2514,,29000,3.9,,,,,,,,,
LinearTransformer,DEdr04_pp_biomass,GL_bus_biomass,DEdr04_pp_biomass,,,,,,,,,,,,,,,,,
Source,DEdr04_run_of_river,DEdr04_run_of_river,DEdr04_bus_el,,164.6229981703,,,,0.65,,,TRUE,,,,,,,,
Source,DEdr04_solar,DEdr04_solar,DEdr04_bus_el,,6742.03034,,,,seq,,,TRUE,,,,,,,,
Source,DEdr04_wind_onshore,DEdr04_wind_onshore,DEdr04_bus_el,,3632.702,,,,seq,,,TRUE,,,,,,,,
Storage,DEdr04_storage_a_caes,DEdr04_storage_a_caes,DEdr04_bus_el,,204.85,,,,,,0,,,,,,,,,
Storage,DEdr04_storage_a_caes,DEdr04_bus_el,DEdr04_storage_a_caes,,204.85,,,,,,0,,614.55,0,0.837,0.837,0.5,0,1,
Storage,DEdr04_storage_hydrogen,DEdr04_storage_hydrogen,DEdr04_bus_el,,665.28,,,,,,0,,,,,,,,,
Storage,DEdr04_storage_hydrogen,DEdr04_bus_el,DEdr04_storage_hydrogen,,665.28,,,,,,0,,6652.76,0,0.632,0.632,0.5,0,1,
Storage,DEdr04_storage_lithium_ion,DEdr04_storage_lithium_ion,DEdr04_bus_el,,1030.85,,,,,,0,,,,,,,,,
Storage,DEdr04_storage_lithium_ion,DEdr04_bus_el,DEdr04_storage_lithium_ion,,1030.85,,,,,,0,,10300,0,0.975,0.975,0.5,0,1,
Storage,DEdr04_storage_pumped_hydro,DEdr04_storage_pumped_hydro,DEdr04_bus_el,,2377.692834195,,,,,,0,,,,,,,,,
Storage,DEdr04_storage_pumped_hydro,DEdr04_bus_el,DEdr04_storage_pumped_hydro,,2377.692834195,,,,,,0,,23770,0,0.894,0.894,0.5,0,1,
Storage,DEdr04_storage_redox_flow,DEdr04_storage_redox_flow,DEdr04_bus_el,,61.26,,,,,,0,,,,,,,,,
Storage,DEdr04_storage_redox_flow,DEdr04_bus_el,DEdr04_storage_redox_flow,,61.26,,,,,,0,,204.19,0,0.866,0.866,0.5,0,1,
Sink,DEdr04_load,DEdr04_bus_el,DEdr04_load,,4484.0737696641,,,,seq,,,TRUE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### DEdr05,,,,,,,,,,,,,,,,,,,,
Sink,DEdr05_excess,DEdr05_bus_el,DEdr05_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DEdr05_shortage,DEdr05_shortage,DEdr05_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,DEdr05_pp_biomass,DEdr05_pp_biomass,DEdr05_bus_el,0.38,1251.5223267655,,,2514,,29000,3.9,,,,,,,,,
LinearTransformer,DEdr05_pp_biomass,GL_bus_biomass,DEdr05_pp_biomass,,,,,,,,,,,,,,,,,
Source,DEdr05_run_of_river,DEdr05_run_of_river,DEdr05_bus_el,,0.9703338467,,,,0.65,,,TRUE,,,,,,,,
Source,DEdr05_solar,DEdr05_solar,DEdr05_bus_el,,3045.4505,,,,seq,,,TRUE,,,,,,,,
Source,DEdr05_wind_onshore,DEdr05_wind_onshore,DEdr05_bus_el,,685.864,,,,seq,,,TRUE,,,,,,,,
Storage,DEdr05_storage_a_caes,DEdr05_storage_a_caes,DEdr05_bus_el,,105.85,,,,,,0,,,,,,,,,
Storage,DEdr05_storage_a_caes,DEdr05_bus_el,DEdr05_storage_a_caes,,105.85,,,,,,0,,317.55,0,0.837,0.837,0.5,0,1,
Storage,DEdr05_storage_hydrogen,DEdr05_storage_hydrogen,DEdr05_bus_el,,343.77,,,,,,0,,,,,,,,,
Storage,DEdr05_storage_hydrogen,DEdr05_bus_el,DEdr05_storage_hydrogen,,343.77,,,,,,0,,3437.68,0,0.632,0.632,0.5,0,1,
Storage,DEdr05_storage_lithium_ion,DEdr05_storage_lithium_ion,DEdr05_bus_el,,532.67,,,,,,0,,,,,,,,,
Storage,DEdr05_storage_lithium_ion,DEdr05_bus_el,DEdr05_storage_lithium_ion,,532.67,,,,,,0,,2663.35,0,0.975,0.975,0.5,0,1,
Storage,DEdr05_storage_redox_flow,DEdr05_storage_redox_flow,DEdr05_bus_el,,31.65,,,,,,0,,,,,,,,,
Storage,DEdr05_storage_redox_flow,DEdr05_bus_el,DEdr05_storage_redox_flow,,31.65,,,,,,0,,105.51,0,0.866,0.866,0.5,0,1,
Sink,DEdr05_load,DEdr05_bus_el,DEdr05_load,,3707.9840787606,,,,seq,,,TRUE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### DEdr06,,,,,,,,,,,,,,,,,,,,
Sink,DEdr06_excess,DEdr06_bus_el,DEdr06_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DEdr06_shortage,DEdr06_shortage,DEdr06_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,DEdr06_pp_biomass,DEdr06_pp_biomass,DEdr06_bus_el,0.38,1153.1996388904,,,2514,,29000,3.9,,,,,,,,,
LinearTransformer,DEdr06_pp_biomass,GL_bus_biomass,DEdr06_pp_biomass,,,,,,,,,,,,,,,,,
Source,DEdr06_run_of_river,DEdr06_run_of_river,DEdr06_bus_el,,47.0180475267,,,,0.65,,,TRUE,,,,,,,,
Source,DEdr06_solar,DEdr06_solar,DEdr06_bus_el,,4289.42306,,,,seq,,,TRUE,,,,,,,,
Source,DEdr06_wind_onshore,DEdr06_wind_onshore,DEdr06_bus_el,,449.812,,,,seq,,,TRUE,,,,,,,,
