class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
Storage,NL_storage_pumped_hydro,NL_bus_el,NL_storage_pumped_hydro,,104,,,,,,0,,1040,0,"0,894","0,894","0,5",0,1,
Storage,NL_storage_redox_flow,NL_storage_redox_flow,NL_bus_el,,"45,76",,,,,,0,,,,,,,,,
Storage,NL_storage_redox_flow,NL_bus_el,NL_storage_redox_flow,,"45,76",,,,,,0,,"152,53",0,"0,866","0,866","0,5",0,1,
Sink,NL_load,NL_bus_el,NL_load,,26746,,,,seq,,,TRUE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### NO,,,,,,,,,,,,,,,,,,,,
# Sink,NO_excess,NO_bus_el,NO_excess,,,,,,,,"0,00000001",,,,,,,,,
# Source,NO_shortage,NO_shortage,NO_bus_el,,,,,,,,1000,,,,,,,,,
# LinearTransformer,NO_pp_biomass,NO_pp_biomass,NO_bus_el,"0,38",500,,,2744,,29000,"3,9",,,,,,,,,
# LinearTransformer,NO_pp_biomass,GL_bus_biomass,NO_pp_biomass,,,,,,,,,,,,,,,,,
# Source,NO_run_of_river,NO_run_of_river,NO_bus_el,,11336,,,,"0,65",,,TRUE,,,,,,,,
# Source,NO_hydro,NO_hydro,NO_bus_el,,42473,,seq,3165,,,,,,,,,,,,
# Source,NO_solar,NO_solar,NO_bus_el,,5368,,,,seq,,,TRUE,,,,,,,,
# Source,NO_wind_onshore,NO_wind_onshore,NO_bus_el,,12175,,,,seq,,,TRUE,,,,,,,,
# Source,NO_wind_offshore,NO_wind_offshore,NO_bus_el,,3000,,,,seq,,,TRUE,,,,,,,,
# Storage,NO_storage_lithium_ion,NO_storage_lithium_ion,NO_bus_el,,"0,08",,,,,,0,,,,,,,,,
# Storage,NO_storage_lithium_ion,NO_bus_el,NO_storage_lithium_ion,,"0,08",,,,,,0,,"0,4",0,"0,975","0,975","0,5",0,1,
# Storage,NO_storage_pumped_hydro,NO_storage_pumped_hydro,NO_bus_el,,17291,,,,,,0,,,,,,,,,
# Storage,NO_storage_pumped_hydro,NO_bus_el,NO_storage_pumped_hydro,,17291,,,,,,0,,991000,0,"0,894","0,894","0,5",0,1,
# Sink,NO_load,NO_bus_el,NO_load,,17981,,,,seq,,,TRUE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### PL,,,,,,,,,,,,,,,,,,,,
Sink,PL_excess,PL_bus_el,PL_excess,,,,,,,,"0,00000001",,,,,,,,,
Source,PL_shortage,PL_shortage,PL_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,PL_pp_gas,PL_pp_gas,PL_bus_el,"0,425",3000,,,,,24000,"0,5",,,,,,,,,
LinearTransformer,PL_pp_gas,GL_bus_gas,PL_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,PL_pp_biomass,PL_pp_biomass,PL_bus_el,"0,38",14250,,,2184,,29000,"3,9",,,,,,,,,
LinearTransformer,PL_pp_biomass,GL_bus_biomass,PL_pp_biomass,,,,,,,,,,,,,,,,,
Source,PL_run_of_river,PL_run_of_river,PL_bus_el,,2079,,,,"0,65",,,TRUE,,,,,,,,
Source,PL_solar,PL_solar,PL_bus_el,,24220,,,,seq,,,TRUE,,,,,,,,
Source,PL_wind_onshore,PL_wind_onshore,PL_bus_el,,81918,,,,seq,,,TRUE,,,,,,,,
Storage,PL_storage_a_caes,PL_storage_a_caes,PL_bus_el,,"1724,03",,,,,,0,,,,,,,,,
Storage,PL_storage_a_caes,PL_bus_el,PL_storage_a_caes,,"1724,03",,,,,,0,,"5172,09",0,"0,837","0,837","0,5",0,1,
Storage,PL_storage_hydrogen,PL_storage_hydrogen,PL_bus_el,,"311,1",,,,,,0,,,,,,,,,
Storage,PL_storage_hydrogen,PL_bus_el,PL_storage_hydrogen,,"311,1",,,,,,0,,"3111,03",0,"0,632","0,632","0,5",0,1,
Storage,PL_storage_lithium_ion,PL_storage_lithium_ion,PL_bus_el,,"4517,47",,,,,,0,,,,,,,,,
Storage,PL_storage_lithium_ion,PL_bus_el,PL_storage_lithium_ion,,"4517,47",,,,,,0,,"22587,36",0,"0,975","0,975","0,5",0,1,
Storage,PL_storage_pumped_hydro,PL_storage_pumped_hydro,PL_bus_el,,3790,,,,,,0,,,,,,,,,
Storage,PL_storage_pumped_hydro,PL_bus_el,PL_storage_pumped_hydro,,3790,,,,,,0,,37900,0,"0,894","0,894","0,5",0,1,
Storage,PL_storage_redox_flow,PL_storage_redox_flow,PL_bus_el,,"38,89",,,,,,0,,,,,,,,,
Storage,PL_storage_redox_flow,PL_bus_el,PL_storage_redox_flow,,"38,89",,,,,,0,,"129,63",0,"0,866","0,866","0,5",0,1,
Sink,PL_load,PL_bus_el,PL_load,,30718,,,,seq,,,TRUE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### SE,,,,,,,,,,,,,,,,,,,,
Sink,SE_excess,SE_bus_el,SE_excess,,,,,,,,"0,00000001",,,,,,,,,
Source,SE_shortage,SE_shortage,SE_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,SE_pp_biomass,SE_pp_biomass,SE_bus_el,"0,38",5500,,,1445,,29000,"3,9",,,,,,,,,
LinearTransformer,SE_pp_biomass,GL_bus_biomass,SE_pp_biomass,,,,,,,,,,,,,,,,,
Source,SE_run_of_river,SE_run_of_river,SE_bus_el,,2446,,,,"0,65",,,TRUE,,,,,,,,
Source,SE_hydro,SE_hydro,SE_bus_el,,21383,,seq,3878,,,,,,,,,,,,
Source,SE_solar,SE_solar,SE_bus_el,,8919,,,,seq,,,TRUE,,,,,,,,
Source,SE_wind_onshore,SE_wind_onshore,SE_bus_el,,24211,,,,seq,,,TRUE,,,,,,,,
Source,SE_wind_offshore,SE_wind_offshore,SE_bus_el,,3000,,,,seq,,,TRUE,,,,,,,,
Storage,SE_storage_lithium_ion,SE_storage_lithium_ion,SE_bus_el,,"3209,92",,,,,,0,,,,,,,,,
Storage,SE_storage_lithium_ion,SE_bus_el,SE_storage_lithium_ion,,"3209,92",,,,,,0,,"16049,6",0,"0,975","0,975","0,5",0,1,
Sink,SE_load,SE_bus_el,SE_load,,23826,,,,seq,,,TRUE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### NET TRANSFER CAPACITIES,,,,,,,,,,,,,,,,,,,,
LinearTransformer,AT_CH_powerline,AT_bus_el,AT_CH_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,AT_CH_powerline,AT_CH_powerline,CH_bus_el,"0,97",2400,,,,,,,,,,,,,,,
LinearTransformer,CH_AT_powerline,CH_bus_el,CH_AT_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,CH_AT_powerline,CH_AT_powerline,AT_bus_el,"0,97",2400,,,,,,,,,,,,,,,
